Street Name,lights
CLUB ROAD,20

STATE BANK ROAD,32

GOPALAPURAM STREET 3,4

SOWRIPALAYAM MAIN ROAD,18

THIRU GNANASAMATHAM ROAD,3

BYE-PASS,10

AMMAN KULAM NORTH,45

AREIMEDU,29

AMMAN KULAM SOUTH CROSS 1,6

AMMAN KULAM ROAD,9

ANNA NAGAR MAIN ROAD,52

AMMAN KULAM SOUTH CROSS 2,8

AMMAN KULAM SOUTH CROSS 3,2

RAJIV NAGAR,26

RAJIV NAGAR THIRD STREET,3

RAJIV NAGAR FIFTH STREET,1

RAJIV NAGAR FOURTH STREET,3

THIYAGARAYA PUDU STREET 2,16

SYRIAN CHURCH ROAD NO 1,6

DEVANGA PET 1(NANERIKALZAGA STREET NO 1,4

DEVANGA PET 2(NANERIKALZAGA SANDHU),6

DEVANGA PET 2(NANERIKALZAGA STREET NO 2,6

DEVANGA PET 3(NANERIKALZAGA STREET NO 3,13

SYRIAN CHURCH ROAD NO 2,9

METTUPALAYAM ROAD,166

V C V ROAD,9

SYRIAN CHURCH ROAD NO 3,6

DEVANGA HIGHER SECONDARY SCHOOL ROAD,11

SHANMUGA THEATRE ROAD,10

HAMSA LAYOUT,1

R R LAYOUT,10

KRISHNA ROAD,8

SUKRAWARPETTAI MILL ROAD,22

POST OFFICE ROAD,13

S P N LAYOUT,5

NARASIMHA STREET 1,4

NARASIMHA STREET 2,3

NAVAB HAKKIM ROAD,34

CHANDRAN LANE 1,7

MANIYATHOTTAM 1,9

MANIYATHOTTAM 2,10

ALAMELU MANGAMMAL LAY OUT 1,8

ALAMELU MANGAMMAL LAYOUT,10

BALA SUBRAMANIYAM NAGAR,12

KARUPARAYAN KOVIL STREET,34

SOWRI MUTHU LAYOUT,8

SANTHIYAGU STREET,2

CORPORATION COLONY,1

KALIYAMMAN KOVIL STREET 1,10

KANTHASAMY STREET,7

ANTHONIYAR KOVIL STREET,12

BAZAAR STREET,4

CHINNA MARUDHACHALAM STREET,2

PECHIANNAN STREET,7

KRISHNAR TEMPLE STREET,1

M ARUMUGAM STREET,5

SOWRIPALAYAM ROAD,45

MARIAMMAN KOVIL STREET,38

ARUMUGAM STREET,20

PATTUPUCHI SANDHU,20

LINGAPPA LANE NO.2,7

LINGAPPA CHETTY STREET,14

SUKRAWAR PET,16

THIYAGI KUMARAN STREET,45

RANGAI STREET,46

LINGAPPA LANE NO.1,5

THEPA KULAM STREET 4,5

CHINNA ELLAI SANDHU,8

KRISHNAPPA STREET,2

KALINGA STREET,8

PILAIYAR KOVIL STREET,7

THEPA KULAM STREET 3,6

THEPA KULAM STREET 2,17

THIYAGARAYA PUDU STREET 3,15

LINGAPPA STREET 1,8

THEPA KULAM STREET 1,14

LINGAPPA STREET,4

LINGAPPA ROAD,2

THIYAGARAYA PUDU STREET 1,8

CHANDRAN LANE 2,7

MANIYATHOTTAM 3,5

MANIYATHOTTAM 4,3

THIRUMAL STREET 1,4

THIRUMAL STREET 2,3

JAMEDHAR STREET,12

OPPANAKKARA STREET,35

THIRUMAL STREET,12

CMC COLONY,8

VARIETY HALL ROAD,29

KRISHNAN STREET,4

SURIAN STREET,9

YOUSUF LANE,3

THIRUMAL STREET 5,2

NALLAMARAJA LANE - II,5

AYYANNAN STREET,20

NALLAMARAJA LANE - I,7

RAJA STREET,67

GOODSHED ROAD,11

BIG BAZAR STREET,79

B.K.CHETTY STREET,5

SANJORR PATHI VEETHI,1

ISMAIL STREET,31

RATHINAM STREET,13

SOWDAMMAN KOVIL STREET,15

MANIMEKALA STREET,8

TELUGU STREET,35

UPPARA STREET,29

THOMAS STREET(SUBBAYA STREET),20

HANUMANTHARAYA KOVIL STREET,18

EIDYAR STREET(KRISHNAN STREET ),21

SUKRAWARPET ROAD,18

U.T.G SANTHU,3

KANAGADARA SANDHU,9

UPPUTHOTTA LANE,6

J.P. SANDHU,11

KATHAN SANDHU,6

KAMPODHI SANDHU,4

SUNDARA VINAYAGAR KOVIL STREET,7

WASHERMAN LANE,1

PORIKARA STREET,7

GANDHI SANDHU,6

NANJANAYAKAR LANE,4

DASAIYAN SANDHU,10

MARAGARA NANJAPPA STREET,17

SENTHURUMAN SANDHU,5

V.R.KOVIL SANDHU,5

GURUPARAR SANDHU,20

MALAI VATHIYAR SANTHU,2

VEERASAMY SCHOOL ROAD,6

THEOSOPHICAL SOCIETY ROAD,6

KARUPPANNAN STREET,16

PAVALAM STREET - I,6

SUBRI STREET,33

SUBBAIYA STREET,29

EDAYAR STREET(KRISHNAN STREET ),4

THIYAGARAYAR STREET,9

VAIRAM STREET,5

PAVALAM STREET - III,4

T K MARKET,11

UPPU KINARU LANE,6

PAVALAM STREET - II,6

MUTHU VINAYAGAR STREET,5

ANGALAMMAN KOVIL STREET,8

VAISYAL STREET,44

PATTAKARA AYYASAMY KOVIL STREET,18

KAMPATTI COLONY HOUSING UNIT,28

RAJU CHETTIAR STREET,6

NADAR STREET,39

NAIKAR THOTTAM LANE,5

DHARMARAJA KOVIL STREET,20

PALAYAM THOTTAM,19

PALAYAM THOTTAM FOURTH CROSS,3

PALAYAM THOTTAM THIRD CROSS,4

KAMPATTI COLONY 4,9

KAMPATTI COLONY 3,12

KAMPATTI COLONY 2,10

DHARMARAJA KOVIL LANE,4

KAMPATTI COLONY 1,6

KAMPATTI COLONY 6,4

L.G.THOTTAM,17

KUPPANA NAYAKKAR STREET,5

AYYASAMY KOVIL STREET,12

AYYAN KOVIL STREET,2

RANGE GOWDA STREET,15

MOHAMED KANI STREET,5

KAMPATTI COLONY 7,14

KAMPATTI COLONY ROAD,17

LAKSHMI THEATRE ROAD,17

SLAUGHTER HOUSE ROAD,19

BHARATHI NAGAR,138

VINCENT ROAD,40

B K CHETTY STREET,13

DURGALAL STREET,6

ESWARAN KOVIL STREET,11

OLD MARKET ROAD,10

RAMASAMY STREET,23

VENNEL STREET II,2

VENNEL STREET I,2

PALACE THEATRE ROAD,7

BASKARA LANE NO 1,1

BASKARA LANE NO 2,3

KOTTA PUDUR STREET,2

SUBRAMANIASAMY KOVIL STREET,7

PERUMAL KOVIL STREET,69

JAYA LAKSHMI STREET,3

PALAKKAD ROAD,25

LAKSHMANA STREET,6

L M STREET,2

HAJI MOHAMMED STREET,7

IBRAHIM HAZIR STREET,3

HAJI ISMAIL ROAD,5

SUNGAM BY PASS ROAD,19

SAMIYAR PUDU STREET NO 1,9

SAMIYAR PUDU STREET NO 2,3

SAMA STREET,5

KAMATCHIYAMMAN KOVIL STREET,6

PAPPAMMAL LAYOUT,8

NANJUNDAPURAM ROAD,61

RAMASAMY ROAD,6

SUBRAMANIAM ROAD,26

NACHIYANNA ANGANNAN STREET,13

RAMALINGAM LAYOUT,5

RAMALINGA JYOTHI NAGAR,27

EIGHTY FEET ROAD,29

BAJANAI KOVIL STREET,18

50 FEET SCHEME ROAD,2

KANNIKA PARAMESHWARI LAYOUT,15

MURUGAN NAGAR,61

PASUMPON NAGAR,4

ANGANNAN SAITE,44

PASUMPON NAGAR EXTENSION,1

ARUNACHALA DEVAR COLONY,13

SRI RAM COLONY,5

DEVANDRA STREET,13

RAMANATHAPURAM ROAD,27

LAKSHMAN SANDHU,1

PULUGAN THAMBI SANDHU,3

PALANI AANDAVAR KOVIL STREET,2

VALLIYAMMAL ROAD,5

MANIAM SUBRAMANIYAR STREET,10

KARUPPANNAN ROAD,3

SIVARAM NAGAR,81

SRI NAGAR,62

INDHIRA NAGAR,16

ABIRAMI NAGAR,16

KAMARAJ NAGAR,28

ARUMUGAM NAGAR,4

MURUGAYAN COLONY,7

BHARATHI NAGAR V,3

BHARATHI NAGAR IV,4

BHARATHI NAGAR III,6

BHARATHI NAGAR II,2

BHARATHI NAGAR I,3

ARUNACHALAM COLONY,16

DR MUNUSAMY NAGAR,13

BHARATHI NAGAR VI,2

KAMATCHIAMMAN KOVIL STREET,1

RUPA NAGAR,9

KAVERI NAGAR,13

SRINATH LAKE VIEW,13

KOTTAI PUDHUR,36

G M NAGAR,116

MAGITH COLONY,16

SHANMUGA NAGAR,21

K P NAGAR,15

VINAYAGA NAGAR,5

BY PASS ROAD,78

THIYAGI SIVARAM NAGAR,17

ALVIN NAGAR,4

J K GARDEN,22

NATARAJAN COLONY,9

RUCKMANI NAGAR,14

KARUNANITHI NAGAR,65

AREEMEDU,4

PARK TOWN,13

KAMARAJ COLONY,8

MASAKALI PALAYAM ROAD,48

KANDASAMY NAGAR,8

LAKSHMI PURAM STREET-4,18

LAKSHMI PURAM STREET-5,13

LALBHAGADHUR STREET,4

LALBHADUR SASTHIRY STREET,2

A K G NAGAR,38

PERIYAR NAGAR WEST STREET,6

PERIYAR NAGAR,120

SRI DHANALAKSHMI NAGAR,24

G.V.RESIDENCY ROAD,96

SOWRIPALAYAR ROAD,4

SAKTHI NAGAR,57

OM SAKTHI NAGAR,8

RAMALAKSHMI NAGAR,19

SRI KUMARAN NAGAR,6

JEEVA STREET,10

BHARATHI NAGAR-3,10

KASTHURIBAI GANDHI NAGAR-1,8

KASTHURIBAI GANDHI NAGAR,9

MASAKALI PALAYAM EAST STREET,6

PERIYAR NAGAR EAST,2

KASTHURIBAI GANDHI NAGAR-3,4

V K ROAD,2

HARSHA GARDEN,3

VARADHARAJA PURAM NORTH STREET-2,6

THILAKAR STREET-1,6

NARENDRA DEVA STREET,1

VARADHARAJA PURAM NORTH STREET,1

VARADHARAJA PURAM WEST STREET-2,3

BALAJI NAGAR-1,2

BALAJI NAGAR-2,2

VINAYAKAR KOVIL STREET,19

GANDHI NAGAR STREET-1,2

GANDHI NAGAR STREET-17,3

GANDHI NAGAR STREET-3,6

GANDHI NAGAR STREET-12,1

GANDHI NAGAR STREET-8,1

NEELIAMMAL STREET,4

MOOKAMBIKAI NAGAR,6

MAHALAKSHMI KOVIL STREET,7

PERIYAR NAGAR SOUTH STREET,3

PERIYAR NAGAR WEST STREET-2,4

PALANI SAMY STREET,8

